
> financial-wallet-frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'D:\\HK6 UIT\\DA1\\financial-wallet-frontend', testMode: true }
✓ Ready in 1191ms
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 2ms, render: 53ms)
 GET /login 200 in 39ms (compile: 3ms, proxy.ts: 1942µs, render: 34ms)
 GET /login 200 in 22ms (compile: 3ms, proxy.ts: 1978µs, render: 17ms)
 GET /admin/audit-logs 200 in 403ms (compile: 246ms, proxy.ts: 5ms, render: 152ms)
 GET /dashboard 200 in 53ms (compile: 19ms, proxy.ts: 4ms, render: 30ms)
 GET /admin/audit-logs 200 in 53ms (compile: 6ms, proxy.ts: 5ms, render: 43ms)
 GET /admin/settings 200 in 66ms (compile: 32ms, proxy.ts: 5ms, render: 29ms)
 GET /admin/roles 200 in 99ms (compile: 25ms, proxy.ts: 5ms, render: 69ms)
 GET /admin/departments 200 in 58ms (compile: 27ms, proxy.ts: 4ms, render: 28ms)
 GET /dashboard 200 in 51ms (compile: 9ms, proxy.ts: 6ms, render: 37ms)
 GET /admin/system-fund 200 in 861ms (compile: 814ms, proxy.ts: 8ms, render: 39ms)
 GET /login 200 in 161ms (compile: 26ms, proxy.ts: 20ms, render: 116ms)
 GET /dashboard 200 in 212ms (compile: 9ms, proxy.ts: 6ms, render: 197ms)
 GET /admin/departments 200 in 59ms (compile: 8ms, proxy.ts: 5ms, render: 47ms)
 GET /dashboard 200 in 56ms (compile: 10ms, proxy.ts: 6ms, render: 40ms)
 GET /admin/system-fund 200 in 65ms (compile: 18ms, proxy.ts: 15ms, render: 31ms)
 GET /dashboard 200 in 47ms (compile: 13ms, proxy.ts: 4ms, render: 31ms)
 GET /admin/roles 200 in 56ms (compile: 7ms, proxy.ts: 5ms, render: 45ms)
 GET /admin/departments 200 in 58ms (compile: 11ms, proxy.ts: 6ms, render: 42ms)
 GET /admin/users 200 in 113ms (compile: 41ms, proxy.ts: 5ms, render: 66ms)
 GET /admin/roles 200 in 44ms (compile: 5ms, proxy.ts: 3ms, render: 36ms)
 GET /admin/settings 200 in 201ms (compile: 4ms, proxy.ts: 3ms, render: 194ms)
 GET /admin/roles 200 in 60ms (compile: 8ms, proxy.ts: 8ms, render: 43ms)
 GET /notifications 200 in 57ms (compile: 26ms, proxy.ts: 4ms, render: 27ms)
 GET /profile 200 in 118ms (compile: 47ms, proxy.ts: 6ms, render: 65ms)
 GET /wallet 200 in 114ms (compile: 49ms, proxy.ts: 7ms, render: 58ms)
 GET /dashboard 200 in 32ms (compile: 5ms, proxy.ts: 3ms, render: 24ms)
 GET /admin/audit-logs 200 in 34ms (compile: 5ms, proxy.ts: 3ms, render: 26ms)
 GET /admin/settings 200 in 45ms (compile: 9ms, proxy.ts: 8ms, render: 28ms)
 GET /admin/roles 200 in 41ms (compile: 5ms, proxy.ts: 4ms, render: 32ms)
